datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/01/02 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.1,-19.7390,-57.7770,28.2
2019/01/02 18:00:00,AQUA_M-T,Brasil,MATO GROSSO,ITIQUIRA,Pantanal,2,0,0.9,-17.5560,-55.1590,49.9
2019/01/15 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,9,0.1,0.4,-19.0370,-57.2110,12.7
2019/01/15 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0.1,1,-19.0310,-57.1040,14.3
2019/01/15 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,9,0.1,0.4,-19.0290,-57.2220,34.1
2019/01/24 17:25:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,0,1.1,0.7,-17.7040,-57.2010,14.1
2019/01/24 17:25:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,0,1.1,0.7,-17.7030,-57.1910,31.2
2019/01/24 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0.8,1,-19.8370,-57.8020,11.7
2019/01/24 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0.2,0.3,-19.2370,-57.1870,29
2019/01/24 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0.2,0.3,-19.2350,-57.1760,10.6
2019/01/24 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0,1,-20.3410,-58.0020,32.8
2019/01/24 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0,1,-20.3120,-58.0180,23.8
2019/02/09 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,2,2.2,0.7,-20.2190,-56.0230,9.4
2019/02/09 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,4,0.6,1,-19.8430,-57.9640,22.4
2019/02/09 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,2,0,0.8,-18.8150,-57.1080,12.6
2019/01/31 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0.6,0.6,-18.8040,-57.3450,72.8
2019/01/31 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,4,0.6,0.6,-18.8030,-57.3360,21.2
2019/01/31 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.7,-18.4740,-56.0630,17.7
2019/01/31 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,7,2.6,0.8,-19.8070,-57.8290,34.8
2019/01/31 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,7,2.8,0.8,-19.8060,-57.8190,193.7
2019/02/02 17:20:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal,13,0,1,-21.1150,-57.6400,32.3
2019/02/02 17:20:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,14,0,0.6,-20.6510,-57.9630,15.3
2019/02/02 17:20:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,14,0,0.6,-20.6500,-57.9520,39.7
2019/02/11 17:10:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.6,-18.7640,-57.2540,36.1
2019/02/18 17:20:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0,1,-19.6100,-57.6560,24.2
